the state of being suitable or opportune	chairs arranged for his own convenience	5	convenience	a state of being relaxed and feeling no pain	he is a man who enjoys his comfort	7	comfort	1
the quality of being useful and convenient	they offered the convenience of an installment plan	3	convenience	the quality of having the properties that are right for a specific purpose	an important requirement is suitability for long trips	4	suitability	1
the quality of being useful and convenient	they offered the convenience of an installment plan	3	convenience	an essential and distinguishing attribute of something or someone	the quality of mercy is not strained "-- shakespeare	1	quality	1
an act of aggression (as one against a person who resists)	he may accomplish by craft in the long run what he cannot do by force and violence in the short one	14	force	something done (usually as opposed to something said)	there were stories of murders and other unnatural actions	8	action	1
a unit that is part of some military service	he sent caesar a force of six thousand men	4	force	an organization regarded as part of a larger social group	after the battle the soldier had trouble rejoining his unit	9	unit	1
a unit that is part of some military service	he sent caesar a force of six thousand men	4	force	an organization regarded as part of a larger social group	the coach said the offensive unit did a good job	5	unit	1
physical energy or intensity	he hit with all the force he could muster	5	force	a position on a scale of intensity or amount or quality	it is all a matter of degree	6	degree	1
a putout of a base runner who is required to run; the putout is accomplished by holding the ball while touching the base to which the runner must advance before the runner reaches that base	the shortstop got the runner at second on a force	9	force	an out resulting from a fielding play (not a strikeout)	the first baseman made 15 putouts	5	putout	1
a putout of a base runner who is required to run; the putout is accomplished by holding the ball while touching the base to which the runner must advance before the runner reaches that base	the shortstop got the runner at second on a force	9	force	(baseball) a failure by a batter or runner to reach a base safely in baseball	you only get 3 outs per inning	4	out	1
a powerful effect or influence	the force of his eloquence easily persuaded them	1	force	possession of controlling influence	the power of his love saved her	1	power	1
a powerful effect or influence	the force of his eloquence easily persuaded them	1	force	possession of controlling influence	the deterrent power of nuclear weapons	2	power	1
a powerful effect or influence	the force of his eloquence easily persuaded them	1	force	a power to affect persons or events especially power based on prestige etc	used her parents ' influence to get the job	4	influence	1
the streets of a city viewed as a depressed environment in which there is poverty and crime and prostitution and dereliction	she tried to keep her children off the street	8	street	the general state of things; the combination of circumstances at a given time	the present international situation is dangerous	3	situation	1
the streets of a city viewed as a depressed environment in which there is poverty and crime and prostitution and dereliction	she tried to keep her children off the street	8	street	the general state of things; the combination of circumstances at a given time	eternal truths will be neither true nor eternal unless they have fresh meaning for every new social situation "- franklin d . roosevelt	17	situation	1
the streets of a city viewed as a depressed environment in which there is poverty and crime and prostitution and dereliction	she tried to keep her children off the street	8	street	the totality of surrounding conditions	he longed for the comfortable environment of his living room	5	environment	1
a situation offering opportunities	he worked both sides of the street	6	street	capability of existing or happening or being true	there is a possibility that his sense of smell has been impaired	3	possibility	1
a situation offering opportunities	cooperation is a two - way street	6	street	a possibility due to a favorable combination of circumstances	the holiday gave us the opportunity to visit washington	5	opportunity	1
a situation offering opportunities	he worked both sides of the street	6	street	a possibility due to a favorable combination of circumstances	the holiday gave us the opportunity to visit washington	5	opportunity	1
a situation offering opportunities	cooperation is a two - way street	6	street	capability of existing or happening or being true	there is a possibility that his sense of smell has been impaired	3	possibility	1
people living or working on the same street	the whole street protested the absence of street lights	2	street	a group of people living in a particular local area	the team is drawn from all parts of the community	9	community	1
people living or working on the same street	the whole street protested the absence of street lights	2	street	people living near one another	my neighborhood voted for bush	1	neighborhood	1
people living or working on the same street	the whole street protested the absence of street lights	2	street	people living near one another	it is a friendly neighborhood	4	neighborhood	1
a reflex response to the passage of electric current through the body	electricians get accustomed to occasional shocks	5	shocks	a bodily process occurring due to the effect of some antecedent stimulus or agent	a bad reaction to the medicine	2	reaction	1
a mechanical damper; absorbs energy of sudden impulses	the old car needed a new set of shocks	8	shocks	an instrumentality invented for a particular purpose	a device intended to conserve water	1	device	1
a mechanical damper; absorbs energy of sudden impulses	the old car needed a new set of shocks	8	shocks	an instrumentality invented for a particular purpose	the device is small enough to wear on your wrist	1	device	1
the sound of something crunching	he heard the crunch of footsteps on the gravel path	3	crunch	sound of any kind (especially unintelligible or dissonant sound)	during the firework display that ended the gala the noise reached 98 decibels	9	noise	1
the sound of something crunching	he heard the crunch of footsteps on the gravel path	3	crunch	the sudden occurrence of an audible event	the sound awakened them	1	sound	1
the sound of something crunching	he heard the crunch of footsteps on the gravel path	3	crunch	sound of any kind (especially unintelligible or dissonant sound)	they heard indistinct noises of people talking	3	noise	1
the sound of something crunching	he heard the crunch of footsteps on the gravel path	3	crunch	sound of any kind (especially unintelligible or dissonant sound)	he enjoyed the street noises	4	noise	1
a critical situation that arises because of a shortage (as a shortage of time or money or resources)	an end - of - the year crunch	7	crunch	a condition or state of affairs almost beyond one's ability to deal with and requiring great effort to bear or overcome	grappling with financial difficulties	3	difficulty	1
a critical situation that arises because of a shortage (as a shortage of time or money or resources)	an end - of - the year crunch	7	crunch	a complex or critical or unusual difficulty	no human situation is simple	2	situation	1
a critical situation that arises because of a shortage (as a shortage of time or money or resources)	a financial crunch	2	crunch	a complex or critical or unusual difficulty	the dangerous situation developed suddenly	2	situation	1
a critical situation that arises because of a shortage (as a shortage of time or money or resources)	a financial crunch	2	crunch	a complex or critical or unusual difficulty	that ' s quite a situation	5	situation	1
a critical situation that arises because of a shortage (as a shortage of time or money or resources)	a financial crunch	2	crunch	a complex or critical or unusual difficulty	no human situation is simple	2	situation	1
a critical situation that arises because of a shortage (as a shortage of time or money or resources)	an end - of - the year crunch	7	crunch	a complex or critical or unusual difficulty	that ' s quite a situation	5	situation	1
a critical situation that arises because of a shortage (as a shortage of time or money or resources)	an end - of - the year crunch	7	crunch	a complex or critical or unusual difficulty	the dangerous situation developed suddenly	2	situation	1
a critical situation that arises because of a shortage (as a shortage of time or money or resources)	a financial crunch	2	crunch	a condition or state of affairs almost beyond one's ability to deal with and requiring great effort to bear or overcome	grappling with financial difficulties	3	difficulty	1
a male subordinate	the chief stationed two men outside the building	4	men	a person who contributes to the fulfillment of a need or furtherance of an effort or purpose	my invaluable assistant	2	assistant	1
someone who serves in the armed forces; a member of a military force	two men stood sentry duty	1	men	a person who works at a specific occupation	he is a good worker	4	worker	1
an adult person who is male (as opposed to a woman)	there were two women and six men on the bus	6	men	a human being	there was too much for one person to do	6	person	1
the activity of protecting someone or something	the witnesses demanded police protection	4	protection	any specific behavior	they avoided all recreational activity	4	activity	1
the condition of being protected	he enjoyed a sense of peace and protection in his new home	7	protection	the state of being certain that adverse effects will not be caused by some agent under defined conditions	insure the safety of the children	2	safety	1
the condition of being protected	he enjoyed a sense of peace and protection in his new home	7	protection	the state of being free from danger or injury	we support the armed services in the name of national security	10	security	1
the condition of being protected	they were huddled together for protection	5	protection	the state of being certain that adverse effects will not be caused by some agent under defined conditions	the reciprocal of safety is risk	3	safety	1
the condition of being protected	they were huddled together for protection	5	protection	the state of being free from danger or injury	we support the armed services in the name of national security	10	security	1
the condition of being protected	he enjoyed a sense of peace and protection in his new home	7	protection	the state of being certain that adverse effects will not be caused by some agent under defined conditions	the reciprocal of safety is risk	3	safety	1
the condition of being protected	they were huddled together for protection	5	protection	the state of being certain that adverse effects will not be caused by some agent under defined conditions	insure the safety of the children	2	safety	1
the act of pursuing in an effort to overtake or capture	the culprit started to run and the cop took off in pursuit	11	pursuit	the action of changing something	the change of government had no impact on the economy	1	change	1
the act of pursuing in an effort to overtake or capture	the culprit started to run and the cop took off in pursuit	11	pursuit	the act of changing location from one place to another	police controlled the motion of the crowd	3	motion	1
the act of pursuing in an effort to overtake or capture	the culprit started to run and the cop took off in pursuit	11	pursuit	the action of changing something	his change on abortion cost him the election	1	change	1
a search for an alternative that meets cognitive criteria	the pursuit of love	1	pursuit	the examination of alternative hypotheses	his search for a move that would avoid checkmate was unsuccessful	1	search	1
a diversion that occupies one's time and thoughts (usually pleasantly)	they criticized the boy for his limited pursuits	7	pursuit	any specific behavior	they avoided all recreational activity	4	activity	1
a diversion that occupies one's time and thoughts (usually pleasantly)	they criticized the boy for his limited pursuits	7	pursuit	an activity that diverts or amuses or stimulates	scuba diving is provided as a diversion for tourists	6	diversion	1
the process or result of becoming smaller or pressed together	the contraction of a gas on cooling	1	contraction	a change downward	there was a decrease in his temperature as the fever subsided	3	decrease	1
a word formed from two or more words by omitting or combining some sounds	` o ' clock ' is a contraction of ` of the clock '	7	contraction	a unit of language that native speakers can identify	he hardly said ten words all morning	4	word	1
a word formed from two or more words by omitting or combining some sounds	` o ' clock ' is a contraction of ` of the clock '	7	contraction	a unit of language that native speakers can identify	words are the blocks from which sentences are made	0	word	1
a word formed from two or more words by omitting or combining some sounds	` won ' t ' is a contraction of ` will not '	7	contraction	a unit of language that native speakers can identify	he hardly said ten words all morning	4	word	1
a word formed from two or more words by omitting or combining some sounds	` won ' t ' is a contraction of ` will not '	7	contraction	a unit of language that native speakers can identify	words are the blocks from which sentences are made	0	word	1
a human offspring (son or daughter) of any age	they were able to send their kids to college	6	kids	a person related by blood or marriage	police are searching for relatives of the deceased	4	relative	1
a human offspring (son or daughter) of any age	they were able to send their kids to college	6	kids	the immediate descendants of a person	she was the mother of many offspring	6	offspring	1
a young person of either sex	they ' re just kids	4	kids	a human being	there was too much for one person to do	6	person	1
preliminary drawing for later elaboration	he made several studies before starting to paint	3	study	a representation of forms or objects on a surface by means of lines	drawings of abstract forms	0	drawing	1
preliminary drawing for later elaboration	he made several studies before starting to paint	3	study	a representation of forms or objects on a surface by means of lines	he did complicated pen - and - ink drawings like medieval miniatures	8	drawing	1
a written document describing the findings of some individual or group	this accords with the recent study by hill and dale	5	study	the work of a writer; anything expressed in letters of the alphabet (especially when considered from the point of view of style and effect)	the writing in her novels is excellent	1	writing	1
a written document describing the findings of some individual or group	this accords with the recent study by hill and dale	5	study	the work of a writer; anything expressed in letters of the alphabet (especially when considered from the point of view of style and effect)	that editorial was a fine piece of writing	7	writing	1
a room used for reading and writing and studying	he knocked lightly on the closed door of the study	9	study	an area within a building enclosed by walls and floor and ceiling	the rooms were very small but they had a nice view	1	room	1
a room used for reading and writing and studying	he knocked lightly on the closed door of the study	9	study	a part of a structure having some specific characteristic or function	the spacious cooking area provided plenty of room for servants	3	area	1
a state of deep mental absorption	she is in a deep study	5	study	the faculty or power of mental concentration	keeping track of all the details requires your complete attention	9	attention	1
an entry on a list of persons who contributed to a film or written work	the credits were given at the end of the film	1	credit	a general or descriptive heading for a section of a written work	the novel had chapter titles	4	title	1
approval	give her credit for trying	2	credit	a message expressing a favorable opinion	words of approval seldom passed his lips	2	approval	1
approval	he was given credit for his work	3	credit	a message expressing a favorable opinion	words of approval seldom passed his lips	2	approval	1
used in the phrase `to your credit' in order to indicate an achievement deserving praise; 	she already had several performances to her credit	7	credit	something done (usually as opposed to something said)	there were stories of murders and other unnatural actions	8	action	1
a race between candidates for elective office	i managed his campaign for governor	3	campaign	any competition	the race for the presidency	1	race	1
a series of actions advancing a principle or tending toward a particular end	he supported populist campaigns	3	campaign	any piece of work that is undertaken or attempted	he prepared for great undertakings	4	undertaking	1
a vague idea in which some confidence is placed	what are your feelings about the crisis ?	3	feelings	the content of cognition; the main thing you are thinking about	it was not a good idea	5	idea	1
emotional or moral sensitivity (especially in relation to personal principles or dignity)	the remark hurt his feelings	4	feelings	the experiencing of affective and emotional states	she had a feeling of euphoria	3	feeling	1
emotional or moral sensitivity (especially in relation to personal principles or dignity)	the remark hurt his feelings	4	feelings	the experiencing of affective and emotional states	i disliked him and the feeling was mutual	5	feeling	1
emotional or moral sensitivity (especially in relation to personal principles or dignity)	the remark hurt his feelings	4	feelings	the experiencing of affective and emotional states	he had terrible feelings of guilt	3	feeling	1
a special disposition (as if from a divine source) to pursue a particular course	he was disappointed that he had not heard the call	9	call	an attitude of mind especially one that favors one alternative over others	he had an inclination to give up too easily	3	inclination	1
a special disposition (as if from a divine source) to pursue a particular course	he was disappointed that he had not heard the call	9	call	a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways	he had the attitude that work was fun	3	attitude	1
a demand for a show of hands in a card game	after two raises there was a call	6	call	an urgent or peremptory request	his demands for attention were unceasing	1	demand	1
a brief social visit	senior professors ' wives no longer make afternoon calls on newcomers	8	call	the social act of assembling for some common purpose	his meeting with the salesmen was the high point of his day	1	meeting	1
a brief social visit	senior professors ' wives no longer make afternoon calls on newcomers	8	call	the act of going to see some person or place or thing for a short time	he dropped by for a visit	5	visit	1
a brief social visit	the characters in henry james ' novels are forever paying calls on each other , usually in the parlor of some residence	10	call	the social act of assembling for some common purpose	his meeting with the salesmen was the high point of his day	1	meeting	1
a brief social visit	the characters in henry james ' novels are forever paying calls on each other , usually in the parlor of some residence	10	call	the act of going to see some person or place or thing for a short time	he dropped by for a visit	5	visit	1
(sports) the decision made by an umpire or referee	he was ejected for protesting the call	6	call	the act of choosing or selecting	your choice of colors was unfortunate	1	choice	1
(sports) the decision made by an umpire or referee	he was ejected for protesting the call	6	call	the act of making up your mind about something	the burden of decision was his	3	decision	1
a visit in an official or professional capacity	the salesman ' s call on a customer	4	call	the social act of assembling for some common purpose	his meeting with the salesmen was the high point of his day	1	meeting	1
a visit in an official or professional capacity	the pastor ' s calls on his parishioners	4	call	the act of going to see some person in a professional capacity	a visit to the dentist	1	visit	1
a visit in an official or professional capacity	the pastor ' s calls on his parishioners	4	call	the social act of assembling for some common purpose	his meeting with the salesmen was the high point of his day	1	meeting	1
a visit in an official or professional capacity	the salesman ' s call on a customer	4	call	the act of going to see some person in a professional capacity	a visit to the dentist	1	visit	1
each of the sharp points on the soles of athletic shoes to prevent slipping (or the shoes themselves)	the second baseman sharpened his spikes before every game	5	spike	either extremity of something that has length	the end of the pier	1	end	1
each of the sharp points on the soles of athletic shoes to prevent slipping (or the shoes themselves)	the second baseman sharpened his spikes before every game	5	spike	either extremity of something that has length	they rode to the end of the line	4	end	1
each of the sharp points on the soles of athletic shoes to prevent slipping (or the shoes themselves)	golfers ' spikes damage the putting greens	2	spike	sharp end	he broke the point of his pencil	3	point	1
each of the sharp points on the soles of athletic shoes to prevent slipping (or the shoes themselves)	golfers ' spikes damage the putting greens	2	spike	sharp end	he stuck the point of the knife into a tree	3	point	1
each of the sharp points on the soles of athletic shoes to prevent slipping (or the shoes themselves)	golfers ' spikes damage the putting greens	2	spike	either extremity of something that has length	the end of the pier	1	end	1
each of the sharp points on the soles of athletic shoes to prevent slipping (or the shoes themselves)	golfers ' spikes damage the putting greens	2	spike	either extremity of something that has length	they rode to the end of the line	4	end	1
each of the sharp points on the soles of athletic shoes to prevent slipping (or the shoes themselves)	the second baseman sharpened his spikes before every game	5	spike	either extremity of something that has length	she knotted the end of the thread	3	end	1
each of the sharp points on the soles of athletic shoes to prevent slipping (or the shoes themselves)	golfers ' spikes damage the putting greens	2	spike	either extremity of something that has length	she knotted the end of the thread	3	end	1
each of the sharp points on the soles of athletic shoes to prevent slipping (or the shoes themselves)	the second baseman sharpened his spikes before every game	5	spike	sharp end	he stuck the point of the knife into a tree	3	point	1
each of the sharp points on the soles of athletic shoes to prevent slipping (or the shoes themselves)	the second baseman sharpened his spikes before every game	5	spike	sharp end	he broke the point of his pencil	3	point	1
a sharp rise followed by a sharp decline	the seismograph showed a sharp spike in response to the temblor	5	spike	the gradual beginning or coming forth	figurines presage the emergence of sculpture in greece	3	emergence	1
any holding device consisting of a rigid, sharp-pointed object	the spike pierced the receipts and held them in order	1	spike	an instrumentality invented for a particular purpose	the device is small enough to wear on your wrist	1	device	1
any holding device consisting of a rigid, sharp-pointed object	the spike pierced the receipts and held them in order	1	spike	an instrumentality invented for a particular purpose	a device intended to conserve water	1	device	1
an attack that is intended to seize or inflict damage on or destroy an objective	the strike was scheduled to begin at dawn	1	strike	(military) an offensive against an enemy (using weapons)	the attack began at dawn	1	attack	1
an attack that is intended to seize or inflict damage on or destroy an objective	the strike was scheduled to begin at dawn	1	strike	activity by a military or naval force (as a maneuver or campaign)	it was a joint operation of the navy and air force	4	operation	1
(baseball) a pitch that the batter swings at and misses, or that the batter hits into foul territory, or that the batter does not swing at but the umpire judges to be in the area over home plate and between the batter's knees and shoulders	this pitcher throws more strikes than balls	4	strike	the act of throwing (propelling something with a rapid movement of the arm and wrist)	the catcher made a good throw to second base	5	throw	1
a score in tenpins: knocking down all ten with the first ball	he finished with three strikes in the tenth frame	4	strike	the act of scoring in a game or sport	the winning score came with less than a minute left to play	2	score	1
a score in tenpins: knocking down all ten with the first ball	he finished with three strikes in the tenth frame	4	strike	an attainment that is successful	his new play was a great success	6	success	1
a score in tenpins: knocking down all ten with the first ball	he finished with three strikes in the tenth frame	4	strike	an attainment that is successful	his success in the marathon was unexpected	1	success	1
a small metal block bearing a raised character on one end; produces a printed character when inked and pressed on paper	he dropped a case of type , so they made him pick them up	5	type	a solid piece of something (usually having flat rectangular sides)	the pyramids were built with large stone blocks	7	block	1
a subdivision of a particular kind of thing	what type of sculpture do you prefer ?	1	type	a category of things distinguished by some common characteristic or quality	what kinds of desserts are there ?	1	kind	1
a person of a specified kind (usually with many eccentricities)	the capable type	2	type	a human being	there was too much for one person to do	6	person	1
all of the tokens of the same symbol	the word ` element ' contains five different types of character	8	type	any nonverbal action or gesture that encodes a message	signals from the boat suddenly stopped	0	signal	1
printed characters	small type is hard to read	1	type	a written symbol that is used to represent speech	the greek alphabet has 24 characters	5	character	1
power by which something or someone is affected or dominated	he has a hold over them	3	hold	possession of controlling influence	the power of his love saved her	1	power	1
power by which something or someone is affected or dominated	he has a hold over them	3	hold	power to direct or determine	under control	1	control	1
power by which something or someone is affected or dominated	he has a hold over them	3	hold	possession of controlling influence	the deterrent power of nuclear weapons	2	power	1
a state of being confined (usually for a short time)	the prisoner is on hold	4	hold	the state of being confined	he was held in confinement	4	confinement	1
the act of grasping	she kept a firm hold on the railing	4	hold	the activity of managing or exerting control over something	the control of the mob by the police was admirable	1	control	1
the place where something begins, where it springs into being	jupiter was the origin of the radiation	3	origin	the precise location of something; a spatially limited location	she walked to a point where she could survey the whole street	4	point	1
the source of something's existence or from which it derives or is derived	vegetable origins	1	origin	(technology) a process by which energy or a substance enters a system	a source of carbon dioxide	1	source	1
the source of something's existence or from which it derives or is derived	mineral origin	1	origin	(technology) a process by which energy or a substance enters a system	a source of carbon dioxide	1	source	1
the source of something's existence or from which it derives or is derived	origin in sensation	0	origin	(technology) a process by which energy or a substance enters a system	a heat source	2	source	1
the source of something's existence or from which it derives or is derived	the rumor had its origin in idle gossip	4	origin	(technology) a process by which energy or a substance enters a system	a source of carbon dioxide	1	source	1
the source of something's existence or from which it derives or is derived	vegetable origins	1	origin	(technology) a process by which energy or a substance enters a system	a heat source	2	source	1
the source of something's existence or from which it derives or is derived	the rumor had its origin in idle gossip	4	origin	(technology) a process by which energy or a substance enters a system	a heat source	2	source	1
the source of something's existence or from which it derives or is derived	origin in sensation	0	origin	(technology) a process by which energy or a substance enters a system	a source of carbon dioxide	1	source	1
the source of something's existence or from which it derives or is derived	mineral origin	1	origin	(technology) a process by which energy or a substance enters a system	a heat source	2	source	1
a brief statement	he didn ' t say a word about it	6	word	a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc	according to his statement he was in london on that day	3	statement	1
a unit of language that native speakers can identify	words are the blocks from which sentences are made	0	word	something determined in relation to something that includes it	he wanted to feel a part of something bigger than himself	5	part	1
a unit of language that native speakers can identify	he hardly said ten words all morning	4	word	something determined in relation to something that includes it	he wanted to feel a part of something bigger than himself	5	part	1
an exchange of views on some topic	we had a word or two about it	3	word	(language) communication by word of mouth	his speech was garbled	1	speech	1
the sacred writings of the Christian religions	he went to carry the word to the heathen	5	word	the work of a writer; anything expressed in letters of the alphabet (especially when considered from the point of view of style and effect)	that editorial was a fine piece of writing	7	writing	1
the sacred writings of the Christian religions	he went to carry the word to the heathen	5	word	the work of a writer; anything expressed in letters of the alphabet (especially when considered from the point of view of style and effect)	the writing in her novels is excellent	1	writing	1
a verbal command for action	when i give the word , charge !	4	word	(often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed	the british ships dropped anchor and waited for orders from london	8	order	1
an area within a building enclosed by walls and floor and ceiling	the rooms were very small but they had a nice view	1	room	a thing constructed; a complex entity constructed of many parts	the structure consisted of a series of arches	1	structure	1
an area within a building enclosed by walls and floor and ceiling	the rooms were very small but they had a nice view	1	room	a part of a structure having some specific characteristic or function	the spacious cooking area provided plenty of room for servants	3	area	1
opportunity for	room for improvement	0	room	a possibility due to a favorable combination of circumstances	the holiday gave us the opportunity to visit washington	5	opportunity	1
opportunity for	room for improvement	0	room	capability of existing or happening or being true	there is a possibility that his sense of smell has been impaired	3	possibility	1
(frequently plural) the interest possessed by law or custom in some intangible thing	film rights	1	rights	assets belonging to or due to or contributed by an individual person or group	he wanted his share in cash	3	share	1
(frequently plural) the interest possessed by law or custom in some intangible thing	film rights	1	rights	(law) a right or legal share of something; a financial involvement with something	they have interests all over the world	2	interest	1
(frequently plural) the interest possessed by law or custom in some intangible thing	mineral rights	1	rights	(law) a right or legal share of something; a financial involvement with something	they have interests all over the world	2	interest	1
(frequently plural) the interest possessed by law or custom in some intangible thing	mineral rights	1	rights	assets belonging to or due to or contributed by an individual person or group	he wanted his share in cash	3	share	1
the hand that is on the right side of the body	hit him with quick rights to the body	4	rights	the (prehensile) extremity of the superior limb	he had the hands of a surgeon	3	hand	1
the total output of a writer or artist (or a substantial part of it)	picasso ' s work can be divided into periods	3	work	an artifact that has been created by someone or some process	they improve their product every year	3	product	1
a place where work is done	he arrived at work early today	3	work	the precise location of something; a spatially limited location	she walked to a point where she could survey the whole street	4	point	1
a product produced or accomplished through the effort or activity or agency of a person or thing	the symphony was hailed as an ingenious work	7	work	an artifact that has been created by someone or some process	they improve their product every year	3	product	1
a product produced or accomplished through the effort or activity or agency of a person or thing	the work of an active imagination	1	work	an artifact that has been created by someone or some process	they improve their product every year	3	product	1
a product produced or accomplished through the effort or activity or agency of a person or thing	he was indebted to the pioneering work of john dewey	6	work	an artifact that has been created by someone or some process	they improve their product every year	3	product	1
a product produced or accomplished through the effort or activity or agency of a person or thing	erosion is the work of wind or water over time	3	work	an artifact that has been created by someone or some process	they improve their product every year	3	product	1
a product produced or accomplished through the effort or activity or agency of a person or thing	it is not regarded as one of his more memorable works	10	work	an artifact that has been created by someone or some process	they improve their product every year	3	product	1
activity directed toward making or doing something	she checked several points needing further work	6	work	any specific behavior	they avoided all recreational activity	4	activity	1
the occupation for which you are paid	a lot of people are out of work	7	work	any specific behavior	they avoided all recreational activity	4	activity	1
(physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force	work equals force times distance	0	work	(physics) a thermodynamic quantity equivalent to the capacity of a physical system to do work; the units of energy are joules or ergs	energy can take a wide variety of forms	0	energy	1
an upper limit on what is allowed	there was a roof on salaries	3	roof	the economic policy of controlling or limiting or curbing prices or wages etc.	they wanted to repeal all the legislation that imposed economic controls	10	control	1
the inner top surface of a covered area or hollow space	i could see the roof of the bear ' s mouth	4	roof	a natural object that covers or envelops	under a covering of dust	2	covering	1
the inner top surface of a covered area or hollow space	the roof of the cave was very high	1	roof	a natural object that covers or envelops	under a covering of dust	2	covering	1
the act of containing; keeping something from spreading	the containment of the rebellion	1	containment	the activity of managing or exerting control over something	the control of the mob by the police was admirable	1	control	1
the act of containing; keeping something from spreading	the containment of the aids epidemic	1	containment	the act of controlling by restraining someone or something	the unlawful restraint of trade	2	restraint	1
the act of containing; keeping something from spreading	the containment of the rebellion	1	containment	the act of controlling by restraining someone or something	the unlawful restraint of trade	2	restraint	1
the act of containing; keeping something from spreading	the containment of the aids epidemic	1	containment	the activity of managing or exerting control over something	the control of the mob by the police was admirable	1	control	1
a policy of creating strategic alliances in order to check the expansion of a hostile power or ideology or to force it to negotiate peacefully	containment of communist expansion was a central principle of united states ' foreign policy from 1947 to the 1975	0	containment	a plan of action adopted by an individual or social group	it was a policy of retribution	3	policy	1
a policy of creating strategic alliances in order to check the expansion of a hostile power or ideology or to force it to negotiate peacefully	containment of communist expansion was a central principle of united states ' foreign policy from 1947 to the 1975	0	containment	a plan of action adopted by an individual or social group	a politician keeps changing his policies	5	policy	1
a task performed or problem solved in order to develop skill or understanding	you must work the examples at the end of each chapter in the textbook	4	example	a task assigned for individual study	he did the lesson for today	3	lesson	1
punishment intended as a warning to others	they decided to make an example of him	5	example	cautionary advice about something imminent (especially imminent danger or other unpleasantness)	a letter of admonition about the dangers of immorality	3	admonition	1
the highest point of anything conceived of as growing or developing or unfolding	the climax of the artist ' s career	1	climax	an event that occurs at a critical time	at such junctures he always had an impulse to leave	2	juncture	1
the decisive moment in a novel or play	the deathbed scene is the climax of the play	5	climax	an instant of time	at that point i had to leave	2	point	1
the decisive moment in a novel or play	the deathbed scene is the climax of the play	5	climax	a particular point in time	the moment he arrived the party began	1	moment	1
